nutrition,value,measure,food_product
Galactose,0.0,G,alcoholic
"Fiber, total dietary",0.0,G,alcoholic
"Iron, Fe",0.03,MG,alcoholic
"Magnesium, Mg",12.0,MG,alcoholic
"Phosphorus, P",32.0,MG,alcoholic
"Sodium, Na",4.0,MG,alcoholic
Protein,0.9,G,alcoholic
Ash,0.12,G,alcoholic
Fructose,0.0,G,alcoholic
Lactose,0.0,G,alcoholic
"Carotene, beta",0.0,UG,alcoholic
"Carotene, alpha",0.0,UG,alcoholic
Vitamin D (D2 + D3),0.0,UG,alcoholic
"Cryptoxanthin, beta",0.0,UG,alcoholic
Lycopene,0.0,UG,alcoholic
"Copper, Cu",0.008,MG,alcoholic
"Manganese, Mn",0.022,MG,alcoholic
"Vitamin A, IU",0.0,IU,alcoholic
Retinol,0.0,UG,alcoholic
"Vitamin C, total ascorbic acid",0.0,MG,alcoholic
Thiamin,0.03,MG,alcoholic
Riboflavin,0.09,MG,alcoholic
"Folate, total",18.0,UG,alcoholic
Vitamin B-12,0.02,UG,alcoholic
Vitamin K (phylloquinone),0.0,UG,alcoholic
"Folate, food",18.0,UG,alcoholic
"Vitamin B-12, added",0.0,UG,alcoholic
Cholesterol,0.0,MG,alcoholic
"Fatty acids, total saturated",0.0,G,alcoholic
SFA 8:0,0.0,G,alcoholic
SFA 12:0,0.0,G,alcoholic
SFA 14:0,0.0,G,alcoholic
PUFA 22:6 n-3 (DHA),0.0,G,alcoholic
MUFA 16:1,0.0,G,alcoholic
PUFA 20:5 n-3 (EPA),0.0,G,alcoholic
PUFA 22:5 n-3 (DPA),0.0,G,alcoholic
"Zinc, Zn",0.01,MG,alcoholic
"Selenium, Se",0.6,UG,alcoholic
Vitamin E (alpha-tocopherol),0.0,MG,alcoholic
"Vitamin D (D2 + D3), International Units",0.0,IU,alcoholic
Total lipid (fat),0.0,G,alcoholic
Sucrose,0.0,G,alcoholic
Glucose,0.0,G,alcoholic
Maltose,0.0,G,alcoholic
Water,91.0,G,alcoholic
Caffeine,0.0,MG,alcoholic
Theobromine,0.0,MG,alcoholic
"Sugars, total including NLEA",0.0,G,alcoholic
"Calcium, Ca",8.0,MG,alcoholic
"Potassium, K",62.0,MG,alcoholic
Lutein + zeaxanthin,0.0,UG,alcoholic
Niacin,1.1,MG,alcoholic
Pantothenic acid,0.21,MG,alcoholic
Vitamin B-6,0.09,MG,alcoholic
"Choline, total",10.1,MG,alcoholic
Folic acid,0.0,UG,alcoholic
"Folate, DFE",18.0,UG,alcoholic
"Vitamin E, added",0.0,MG,alcoholic
SFA 4:0,0.0,G,alcoholic
SFA 6:0,0.0,G,alcoholic
SFA 10:0,0.0,G,alcoholic
SFA 16:0,0.0,G,alcoholic
SFA 18:0,0.0,G,alcoholic
MUFA 18:1,0.0,G,alcoholic
PUFA 18:2,0.0,G,alcoholic
PUFA 18:3,0.0,G,alcoholic
PUFA 20:4,0.0,G,alcoholic
PUFA 18:4,0.0,G,alcoholic
MUFA 20:1,0.0,G,alcoholic
MUFA 22:1,0.0,G,alcoholic
"Fatty acids, total monounsaturated",0.0,G,alcoholic
"Fatty acids, total polyunsaturated",0.0,G,alcoholic
"Carbohydrate, by difference",0.27,G,alcoholic
Energy,243,kJ,alcoholic
"Alcohol, ethyl",7.7,G,alcoholic
"Vitamin A, RAE",0.0,UG,alcoholic
Protein,21.0,G,almond
Total lipid (fat),55.5,G,almond
"Carbohydrate, by difference",18.8,G,almond
Energy,614,KCAL,almond
"Alcohol, ethyl",0.0,G,almond
Water,1.64,G,almond
Caffeine,0.0,MG,almond
Theobromine,0.0,MG,almond
"Sugars, total including NLEA",6.27,G,almond
"Fiber, total dietary",10.3,G,almond
"Calcium, Ca",347,MG,almond
"Iron, Fe",3.49,MG,almond
"Magnesium, Mg",279,MG,almond
"Phosphorus, P",508,MG,almond
"Potassium, K",748,MG,almond
"Sodium, Na",227,MG,almond
"Zinc, Zn",3.29,MG,almond
"Copper, Cu",0.934,MG,almond
"Selenium, Se",2.4,UG,almond
Retinol,0.0,UG,almond
"Vitamin A, RAE",0.0,UG,almond
"Carotene, beta",1.0,UG,almond
"Carotene, alpha",0.0,UG,almond
Vitamin E (alpha-tocopherol),24.2,MG,almond
Vitamin D (D2 + D3),0.0,UG,almond
"Cryptoxanthin, beta",0.0,UG,almond
Lycopene,0.0,UG,almond
Lutein + zeaxanthin,1.0,UG,almond
"Vitamin C, total ascorbic acid",0.0,MG,almond
Thiamin,0.041,MG,almond
Riboflavin,0.939,MG,almond
Niacin,3.16,MG,almond
Vitamin B-6,0.103,MG,almond
"Folate, total",53.0,UG,almond
Vitamin B-12,0.0,UG,almond
"Choline, total",52.1,MG,almond
Vitamin K (phylloquinone),0.0,UG,almond
Folic acid,0.0,UG,almond
"Folate, food",53.0,UG,almond
"Folate, DFE",53.0,UG,almond
"Vitamin E, added",0.0,MG,almond
"Vitamin B-12, added",0.0,UG,almond
Cholesterol,0.0,MG,almond
"Fatty acids, total saturated",6.55,G,almond
SFA 4:0,0.0,G,almond
SFA 6:0,0.0,G,almond
SFA 8:0,0.0,G,almond
SFA 10:0,0.0,G,almond
SFA 12:0,0.0,G,almond
SFA 14:0,0.011,G,almond
SFA 16:0,5.04,G,almond
SFA 18:0,1.48,G,almond
MUFA 18:1,32.1,G,almond
PUFA 18:2,13.6,G,almond
PUFA 18:3,0.007,G,almond
PUFA 20:4,0.0,G,almond
PUFA 22:6 n-3 (DHA),0.0,G,almond
MUFA 16:1,0.248,G,almond
PUFA 18:4,0.0,G,almond
MUFA 20:1,0.019,G,almond
PUFA 20:5 n-3 (EPA),0.0,G,almond
MUFA 22:1,0.0,G,almond
PUFA 22:5 n-3 (DPA),0.0,G,almond
"Fatty acids, total monounsaturated",32.4,G,almond
"Fatty acids, total polyunsaturated",13.6,G,almond
Protein,0.0,G,amaretto
Total lipid (fat),10.0,G,amaretto
"Carbohydrate, by difference",33.3,G,amaretto
Energy,233,KCAL,amaretto
"Sugars, total including NLEA",33.3,G,amaretto
"Fiber, total dietary",0.0,G,amaretto
"Calcium, Ca",0.0,MG,amaretto
"Iron, Fe",0.0,MG,amaretto
"Potassium, K",0.0,MG,amaretto
"Sodium, Na",67.0,MG,amaretto
"Vitamin D (D2 + D3), International Units",0.0,IU,amaretto
"Sugars, added",33.3,G,amaretto
Cholesterol,0.0,MG,amaretto
"Fatty acids, total trans",0.0,G,amaretto
"Fatty acids, total saturated",3.33,G,amaretto
"Fatty acids, total monounsaturated",3.33,G,amaretto
"Fatty acids, total polyunsaturated",0.0,G,amaretto
Protein,28.9,G,anchovy
Total lipid (fat),9.71,G,anchovy
"Carbohydrate, by difference",0.0,G,anchovy
Energy,210,KCAL,anchovy
"Alcohol, ethyl",0.0,G,anchovy
Water,50.3,G,anchovy
Caffeine,0.0,MG,anchovy
Theobromine,0.0,MG,anchovy
"Sugars, total including NLEA",0.0,G,anchovy
"Fiber, total dietary",0.0,G,anchovy
"Calcium, Ca",232,MG,anchovy
"Iron, Fe",4.63,MG,anchovy
"Magnesium, Mg",69.0,MG,anchovy
"Phosphorus, P",252,MG,anchovy
"Potassium, K",544,MG,anchovy
"Sodium, Na",3670.0,MG,anchovy
"Zinc, Zn",2.44,MG,anchovy
"Copper, Cu",0.339,MG,anchovy
"Selenium, Se",68.1,UG,anchovy
Retinol,12.0,UG,anchovy
"Vitamin A, RAE",12.0,UG,anchovy
"Carotene, beta",0.0,UG,anchovy
"Carotene, alpha",0.0,UG,anchovy
Vitamin E (alpha-tocopherol),3.33,MG,anchovy
Vitamin D (D2 + D3),1.7,UG,anchovy
"Cryptoxanthin, beta",0.0,UG,anchovy
Lycopene,0.0,UG,anchovy
Lutein + zeaxanthin,0.0,UG,anchovy
"Vitamin C, total ascorbic acid",0.0,MG,anchovy
Thiamin,0.078,MG,anchovy
Riboflavin,0.363,MG,anchovy
Niacin,19.9,MG,anchovy
Vitamin B-6,0.203,MG,anchovy
"Folate, total",13.0,UG,anchovy
Vitamin B-12,0.88,UG,anchovy
"Choline, total",85.0,MG,anchovy
Vitamin K (phylloquinone),12.1,UG,anchovy
Folic acid,0.0,UG,anchovy
"Folate, food",13.0,UG,anchovy
"Folate, DFE",13.0,UG,anchovy
"Vitamin E, added",0.0,MG,anchovy
"Vitamin B-12, added",0.0,UG,anchovy
Cholesterol,85.0,MG,anchovy
"Fatty acids, total saturated",2.2,G,anchovy
SFA 4:0,0.0,G,anchovy
SFA 6:0,0.0,G,anchovy
SFA 8:0,0.0,G,anchovy
SFA 10:0,0.0,G,anchovy
SFA 12:0,0.02,G,anchovy
SFA 14:0,0.428,G,anchovy
SFA 16:0,1.33,G,anchovy
SFA 18:0,0.42,G,anchovy
MUFA 18:1,2.94,G,anchovy
PUFA 18:2,0.362,G,anchovy
PUFA 18:3,0.017,G,anchovy
PUFA 20:4,0.01,G,anchovy
PUFA 22:6 n-3 (DHA),1.29,G,anchovy
MUFA 16:1,0.59,G,anchovy
PUFA 18:4,0.078,G,anchovy
MUFA 20:1,0.009,G,anchovy
PUFA 20:5 n-3 (EPA),0.763,G,anchovy
MUFA 22:1,0.163,G,anchovy
PUFA 22:5 n-3 (DPA),0.041,G,anchovy
"Fatty acids, total monounsaturated",3.77,G,anchovy
"Fatty acids, total polyunsaturated",2.56,G,anchovy
"Calcium, Ca",646,MG,anise
Total lipid (fat),15.9,G,anise
"Carbohydrate, by difference",50.0,G,anise
Energy,1410.0,kJ,anise
Water,9.54,G,anise
"Potassium, K",1440.0,MG,anise
"Zinc, Zn",5.3,MG,anise
Niacin,3.06,MG,anise
Pantothenic acid,0.797,MG,anise
"Fatty acids, total monounsaturated",9.78,G,anise
"Fatty acids, total polyunsaturated",3.15,G,anise
MUFA 18:1,9.78,G,anise
PUFA 18:2,3.15,G,anise
Protein,17.6,G,anise
Ash,6.95,G,anise
"Fiber, total dietary",14.6,G,anise
"Vitamin C, total ascorbic acid",21.0,MG,anise
Thiamin,0.34,MG,anise
Riboflavin,0.29,MG,anise
"Folate, total",10.0,UG,anise
Vitamin B-12,0.0,UG,anise
Cholesterol,0.0,MG,anise
"Iron, Fe",37.0,MG,anise
"Magnesium, Mg",170,MG,anise
"Phosphorus, P",440,MG,anise
"Sodium, Na",16.0,MG,anise
"Copper, Cu",0.91,MG,anise
"Manganese, Mn",2.3,MG,anise
"Vitamin A, IU",311,IU,anise
Folic acid,0.0,UG,anise
SFA 4:0,0.0,G,anise
SFA 6:0,0.0,G,anise
SFA 10:0,0.0,G,anise
SFA 16:0,0.0,G,anise
SFA 18:0,0.0,G,anise
PUFA 18:3,0.0,G,anise
PUFA 20:4,0.0,G,anise
PUFA 18:4,0.0,G,anise
MUFA 20:1,0.0,G,anise
MUFA 22:1,0.0,G,anise
SFA 8:0,0.0,G,anise
SFA 12:0,0.0,G,anise
SFA 14:0,0.0,G,anise
PUFA 22:6 n-3 (DHA),0.0,G,anise
MUFA 16:1,0.0,G,anise
PUFA 20:5 n-3 (EPA),0.0,G,anise
PUFA 22:5 n-3 (DPA),0.0,G,anise
"Selenium, Se",5.0,UG,anise
"Vitamin D (D2 + D3), International Units",0.0,IU,anise
"Alcohol, ethyl",0.0,G,anise
"Fatty acids, total saturated",0.586,G,anise
Retinol,0.0,UG,anise
"Folate, DFE",10.0,UG,anise
Caffeine,0.0,MG,anise
Theobromine,0.0,MG,anise
Vitamin B-6,0.65,MG,anise
"Vitamin A, RAE",16.0,UG,anise
"Folate, food",10.0,UG,anise
Vitamin D (D2 + D3),0.0,UG,anise
"Calcium, Ca",0.0,MG,apple
"Iron, Fe",0.23,MG,apple
"Sodium, Na",0.0,MG,apple
"Vitamin A, IU",65.0,IU,apple
"Vitamin C, total ascorbic acid",3.1,MG,apple
Cholesterol,0.0,MG,apple
"Fatty acids, total saturated",0.0,G,apple
Protein,0.0,G,apple
"Carbohydrate, by difference",14.3,G,apple
Energy,52.0,KCAL,apple
"Sugars, total including NLEA",10.4,G,apple
"Fiber, total dietary",3.2,G,apple
"Potassium, K",110,MG,apple
"Fatty acids, total trans",0.0,G,apple
Total lipid (fat),0.65,G,apple
Protein,0.0,G,apple juice
Total lipid (fat),0.0,G,apple juice
"Carbohydrate, by difference",11.7,G,apple juice
Energy,46.0,KCAL,apple juice
"Sugars, total including NLEA",11.7,G,apple juice
"Sodium, Na",15.0,MG,apple juice
"Vitamin C, total ascorbic acid",32.5,MG,apple juice
"Fatty acids, total trans",0.0,G,apple juice
"Fatty acids, total saturated",0.0,G,apple juice
Protein,0.0,G,apricot
Total lipid (fat),0.0,G,apricot
"Carbohydrate, by difference",13.5,G,apricot
Energy,53.0,KCAL,apricot
"Sugars, total including NLEA",13.5,G,apricot
"Potassium, K",71.0,MG,apricot
"Sodium, Na",6.0,MG,apricot
"Vitamin A, IU",368,IU,apricot
"Vitamin C, total ascorbic acid",17.6,MG,apricot
Protein,1.67,G,artichoke
Total lipid (fat),6.67,G,artichoke
"Carbohydrate, by difference",3.33,G,artichoke
Energy,75.0,KCAL,artichoke
"Sugars, total including NLEA",1.67,G,artichoke
"Fiber, total dietary",1.7,G,artichoke
"Calcium, Ca",0.0,MG,artichoke
"Iron, Fe",0.6,MG,artichoke
"Sodium, Na",300,MG,artichoke
"Vitamin A, IU",1670.0,IU,artichoke
"Vitamin C, total ascorbic acid",0.0,MG,artichoke
Cholesterol,0.0,MG,artichoke
"Fatty acids, total trans",0.0,G,artichoke
"Fatty acids, total saturated",1.67,G,artichoke
Protein,2.35,G,arugula
Total lipid (fat),0.59,G,arugula
"Carbohydrate, by difference",3.53,G,arugula
Energy,24.0,KCAL,arugula
"Sugars, total including NLEA",2.35,G,arugula
"Fiber, total dietary",1.2,G,arugula
"Calcium, Ca",176,MG,arugula
"Iron, Fe",1.27,MG,arugula
"Sodium, Na",29.0,MG,arugula
"Vitamin A, IU",2350.0,IU,arugula
"Vitamin C, total ascorbic acid",14.1,MG,arugula
Cholesterol,0.0,MG,arugula
"Fatty acids, total trans",0.0,G,arugula
"Fatty acids, total saturated",0.0,G,arugula
Protein,0.5,G,asian pear
Total lipid (fat),0.23,G,asian pear
"Carbohydrate, by difference",10.6,G,asian pear
Energy,42.0,KCAL,asian pear
"Alcohol, ethyl",0.0,G,asian pear
Water,88.2,G,asian pear
Caffeine,0.0,MG,asian pear
Theobromine,0.0,MG,asian pear
"Sugars, total including NLEA",7.05,G,asian pear
"Fiber, total dietary",3.6,G,asian pear
"Calcium, Ca",4.0,MG,asian pear
"Iron, Fe",0.0,MG,asian pear
"Magnesium, Mg",8.0,MG,asian pear
"Phosphorus, P",11.0,MG,asian pear
"Potassium, K",121,MG,asian pear
"Sodium, Na",0.0,MG,asian pear
"Zinc, Zn",0.02,MG,asian pear
"Copper, Cu",0.05,MG,asian pear
"Selenium, Se",0.1,UG,asian pear
Retinol,0.0,UG,asian pear
"Vitamin A, RAE",0.0,UG,asian pear
"Carotene, beta",0.0,UG,asian pear
"Carotene, alpha",0.0,UG,asian pear
Vitamin E (alpha-tocopherol),0.12,MG,asian pear
Vitamin D (D2 + D3),0.0,UG,asian pear
"Cryptoxanthin, beta",0.0,UG,asian pear
Lycopene,0.0,UG,asian pear
Lutein + zeaxanthin,50.0,UG,asian pear
"Vitamin C, total ascorbic acid",3.8,MG,asian pear
Thiamin,0.009,MG,asian pear
Riboflavin,0.01,MG,asian pear
Niacin,0.219,MG,asian pear
Vitamin B-6,0.022,MG,asian pear
"Folate, total",8.0,UG,asian pear
Vitamin B-12,0.0,UG,asian pear
"Choline, total",5.1,MG,asian pear
Vitamin K (phylloquinone),4.5,UG,asian pear
Folic acid,0.0,UG,asian pear
"Folate, food",8.0,UG,asian pear
"Folate, DFE",8.0,UG,asian pear
"Vitamin E, added",0.0,MG,asian pear
"Vitamin B-12, added",0.0,UG,asian pear
Cholesterol,0.0,MG,asian pear
"Fatty acids, total saturated",0.012,G,asian pear
SFA 4:0,0.0,G,asian pear
SFA 6:0,0.0,G,asian pear
SFA 8:0,0.0,G,asian pear
SFA 10:0,0.0,G,asian pear
SFA 12:0,0.0,G,asian pear
SFA 14:0,0.0,G,asian pear
SFA 16:0,0.01,G,asian pear
SFA 18:0,0.002,G,asian pear
MUFA 18:1,0.047,G,asian pear
PUFA 18:2,0.054,G,asian pear
PUFA 18:3,0.001,G,asian pear
PUFA 20:4,0.0,G,asian pear
PUFA 22:6 n-3 (DHA),0.0,G,asian pear
MUFA 16:1,0.001,G,asian pear
PUFA 18:4,0.0,G,asian pear
MUFA 20:1,0.001,G,asian pear
PUFA 20:5 n-3 (EPA),0.0,G,asian pear
MUFA 22:1,0.0,G,asian pear
PUFA 22:5 n-3 (DPA),0.0,G,asian pear
"Fatty acids, total monounsaturated",0.049,G,asian pear
"Fatty acids, total polyunsaturated",0.055,G,asian pear
Protein,2.35,G,asparagus
Total lipid (fat),0.0,G,asparagus
"Carbohydrate, by difference",3.53,G,asparagus
Energy,18.0,KCAL,asparagus
"Sugars, total including NLEA",2.35,G,asparagus
"Fiber, total dietary",2.4,G,asparagus
"Calcium, Ca",24.0,MG,asparagus
"Iron, Fe",2.35,MG,asparagus
"Potassium, K",202,MG,asparagus
"Sodium, Na",0.0,MG,asparagus
"Vitamin D (D2 + D3), International Units",0.0,IU,asparagus
Cholesterol,0.0,MG,asparagus
"Fatty acids, total trans",0.0,G,asparagus
"Fatty acids, total saturated",0.0,G,asparagus
Protein,1.9,G,avocado
Total lipid (fat),43.3,G,avocado
"Carbohydrate, by difference",7.36,G,avocado
Energy,427,KCAL,avocado
"Alcohol, ethyl",0.0,G,avocado
Water,45.0,G,avocado
Caffeine,0.0,MG,avocado
Theobromine,0.0,MG,avocado
"Sugars, total including NLEA",6.67,G,avocado
"Fiber, total dietary",0.1,G,avocado
"Calcium, Ca",34.0,MG,avocado
"Iron, Fe",0.35,MG,avocado
"Magnesium, Mg",7.0,MG,avocado
"Phosphorus, P",31.0,MG,avocado
"Potassium, K",58.0,MG,avocado
"Sodium, Na",867,MG,avocado
"Zinc, Zn",0.25,MG,avocado
"Copper, Cu",0.01,MG,avocado
"Selenium, Se",1.6,UG,avocado
Retinol,10.0,UG,avocado
"Vitamin A, RAE",10.0,UG,avocado
"Carotene, beta",3.0,UG,avocado
"Carotene, alpha",1.0,UG,avocado
Vitamin E (alpha-tocopherol),4.6,MG,avocado
Vitamin D (D2 + D3),0.0,UG,avocado
"Cryptoxanthin, beta",1.0,UG,avocado
Lycopene,0.0,UG,avocado
Lutein + zeaxanthin,39.0,UG,avocado
"Vitamin C, total ascorbic acid",0.2,MG,avocado
Thiamin,0.02,MG,avocado
Riboflavin,0.05,MG,avocado
Niacin,0.14,MG,avocado
Vitamin B-6,0.01,MG,avocado
"Folate, total",4.0,UG,avocado
Vitamin B-12,0.26,UG,avocado
"Choline, total",3.6,MG,avocado
Vitamin K (phylloquinone),96.7,UG,avocado
Folic acid,0.0,UG,avocado
"Folate, food",4.0,UG,avocado
"Folate, DFE",4.0,UG,avocado
"Vitamin E, added",0.0,MG,avocado
"Vitamin B-12, added",0.0,UG,avocado
Cholesterol,40.0,MG,avocado
"Fatty acids, total saturated",5.98,G,avocado
SFA 4:0,0.016,G,avocado
SFA 6:0,0.009,G,avocado
SFA 8:0,0.006,G,avocado
SFA 10:0,0.012,G,avocado
SFA 12:0,0.013,G,avocado
SFA 14:0,0.089,G,avocado
SFA 16:0,4.25,G,avocado
SFA 18:0,1.58,G,avocado
MUFA 18:1,9.25,G,avocado
PUFA 18:2,20.4,G,avocado
PUFA 18:3,2.73,G,avocado
PUFA 20:4,0.0,G,avocado
PUFA 22:6 n-3 (DHA),0.0,G,avocado
MUFA 16:1,0.091,G,avocado
PUFA 18:4,0.0,G,avocado
MUFA 20:1,0.08,G,avocado
PUFA 20:5 n-3 (EPA),0.0,G,avocado
MUFA 22:1,0.0,G,avocado
PUFA 22:5 n-3 (DPA),0.0,G,avocado
"Fatty acids, total monounsaturated",9.42,G,avocado
"Fatty acids, total polyunsaturated",23.2,G,avocado
Protein,7.14,G,bacon
Total lipid (fat),50.0,G,bacon
"Carbohydrate, by difference",0.0,G,bacon
Energy,500,KCAL,bacon
"Sugars, total including NLEA",0.0,G,bacon
"Fiber, total dietary",0.0,G,bacon
"Calcium, Ca",0.0,MG,bacon
"Iron, Fe",0.0,MG,bacon
"Sodium, Na",786,MG,bacon
"Vitamin A, IU",0.0,IU,bacon
"Vitamin C, total ascorbic acid",0.0,MG,bacon
Cholesterol,71.0,MG,bacon
"Fatty acids, total saturated",17.9,G,bacon
Protein,12.5,G,banana
Total lipid (fat),6.25,G,banana
"Carbohydrate, by difference",40.6,G,banana
Energy,312,KCAL,banana
"Sugars, total including NLEA",6.25,G,banana
"Fiber, total dietary",6.2,G,banana
"Calcium, Ca",125,MG,banana
"Iron, Fe",1.12,MG,banana
"Sodium, Na",594,MG,banana
"Vitamin A, IU",0.0,IU,banana
"Vitamin C, total ascorbic acid",15.0,MG,banana
Cholesterol,0.0,MG,banana
"Fatty acids, total trans",0.0,G,banana
"Fatty acids, total saturated",0.0,G,banana
"Fatty acids, total monounsaturated",3.12,G,banana
"Fatty acids, total polyunsaturated",3.12,G,banana
Protein,2.2,G,barley
Total lipid (fat),2.74,G,barley
"Carbohydrate, by difference",27.2,G,barley
Energy,139,KCAL,barley
"Alcohol, ethyl",0.0,G,barley
Water,67.1,G,barley
Caffeine,0.0,MG,barley
Theobromine,0.0,MG,barley
"Sugars, total including NLEA",0.28,G,barley
"Fiber, total dietary",3.7,G,barley
"Calcium, Ca",11.0,MG,barley
"Iron, Fe",1.28,MG,barley
"Magnesium, Mg",21.0,MG,barley
"Phosphorus, P",53.0,MG,barley
"Potassium, K",90.0,MG,barley
"Sodium, Na",199,MG,barley
"Zinc, Zn",0.79,MG,barley
"Copper, Cu",0.101,MG,barley
"Selenium, Se",8.3,UG,barley
Retinol,23.0,UG,barley
"Vitamin A, RAE",24.0,UG,barley
"Carotene, beta",15.0,UG,barley
"Carotene, alpha",0.0,UG,barley
Vitamin E (alpha-tocopherol),0.23,MG,barley
Vitamin D (D2 + D3),0.1,UG,barley
"Cryptoxanthin, beta",0.0,UG,barley
Lycopene,0.0,UG,barley
Lutein + zeaxanthin,54.0,UG,barley
"Vitamin C, total ascorbic acid",0.0,MG,barley
Thiamin,0.08,MG,barley
Riboflavin,0.06,MG,barley
Niacin,1.99,MG,barley
Vitamin B-6,0.146,MG,barley
"Folate, total",16.0,UG,barley
Vitamin B-12,0.0,UG,barley
"Choline, total",13.4,MG,barley
Vitamin K (phylloquinone),2.1,UG,barley
Folic acid,0.0,UG,barley
"Folate, food",16.0,UG,barley
"Folate, DFE",16.0,UG,barley
"Vitamin E, added",0.0,MG,barley
"Vitamin B-12, added",0.0,UG,barley
Cholesterol,4.0,MG,barley
"Fatty acids, total saturated",1.09,G,barley
SFA 4:0,0.038,G,barley
SFA 6:0,0.027,G,barley
SFA 8:0,0.016,G,barley
SFA 10:0,0.036,G,barley
SFA 12:0,0.043,G,barley
SFA 14:0,0.135,G,barley
SFA 16:0,0.552,G,barley
SFA 18:0,0.202,G,barley
MUFA 18:1,0.616,G,barley
PUFA 18:2,0.515,G,barley
PUFA 18:3,0.058,G,barley
PUFA 20:4,0.002,G,barley
PUFA 22:6 n-3 (DHA),0.0,G,barley
MUFA 16:1,0.02,G,barley
PUFA 18:4,0.0,G,barley
MUFA 20:1,0.004,G,barley
PUFA 20:5 n-3 (EPA),0.0,G,barley
MUFA 22:1,0.0,G,barley
PUFA 22:5 n-3 (DPA),0.001,G,barley
"Fatty acids, total monounsaturated",0.664,G,barley
"Fatty acids, total polyunsaturated",0.572,G,barley
Protein,5.44,G,bean
Total lipid (fat),3.7,G,bean
"Carbohydrate, by difference",15.9,G,bean
Energy,119,KCAL,bean
"Alcohol, ethyl",0.0,G,bean
Water,73.0,G,bean
Caffeine,0.0,MG,bean
Theobromine,0.0,MG,bean
"Sugars, total including NLEA",0.99,G,bean
"Fiber, total dietary",4.9,G,bean
"Calcium, Ca",26.0,MG,bean
"Iron, Fe",1.6,MG,bean
"Magnesium, Mg",40.0,MG,bean
"Phosphorus, P",105,MG,bean
"Potassium, K",368,MG,bean
"Sodium, Na",443,MG,bean
"Zinc, Zn",0.69,MG,bean
"Copper, Cu",0.196,MG,bean
"Selenium, Se",7.7,UG,bean
Retinol,0.0,UG,bean
"Vitamin A, RAE",0.0,UG,bean
"Carotene, beta",0.0,UG,bean
"Carotene, alpha",0.0,UG,bean
Vitamin E (alpha-tocopherol),0.91,MG,bean
Vitamin D (D2 + D3),0.0,UG,bean
"Cryptoxanthin, beta",0.0,UG,bean
Lycopene,0.0,UG,bean
Lutein + zeaxanthin,0.0,UG,bean
"Vitamin C, total ascorbic acid",0.6,MG,bean
Thiamin,0.09,MG,bean
Riboflavin,0.1,MG,bean
Niacin,0.43,MG,bean
Vitamin B-6,0.115,MG,bean
"Folate, total",21.0,UG,bean
Vitamin B-12,0.0,UG,bean
"Choline, total",16.3,MG,bean
Vitamin K (phylloquinone),1.7,UG,bean
Folic acid,0.0,UG,bean
"Folate, food",21.0,UG,bean
"Folate, DFE",21.0,UG,bean
"Vitamin E, added",0.0,MG,bean
"Vitamin B-12, added",0.0,UG,bean
Cholesterol,0.0,MG,bean
"Fatty acids, total saturated",0.529,G,bean
SFA 4:0,0.0,G,bean
SFA 6:0,0.0,G,bean
SFA 8:0,0.001,G,bean
SFA 10:0,0.005,G,bean
SFA 12:0,0.001,G,bean
SFA 14:0,0.005,G,bean
SFA 16:0,0.423,G,bean
SFA 18:0,0.061,G,bean
MUFA 18:1,0.842,G,bean
PUFA 18:2,1.76,G,bean
PUFA 18:3,0.193,G,bean
PUFA 20:4,0.002,G,bean
PUFA 22:6 n-3 (DHA),0.0,G,bean
MUFA 16:1,0.003,G,bean
PUFA 18:4,0.0,G,bean
MUFA 20:1,0.012,G,bean
PUFA 20:5 n-3 (EPA),0.0,G,bean
MUFA 22:1,0.0,G,bean
PUFA 22:5 n-3 (DPA),0.0,G,bean
"Fatty acids, total monounsaturated",0.859,G,bean
"Fatty acids, total polyunsaturated",1.96,G,bean
Protein,20.0,G,beef
Total lipid (fat),5.88,G,beef
"Carbohydrate, by difference",0.0,G,beef
Energy,129,KCAL,beef
"Sugars, total including NLEA",0.0,G,beef
"Fiber, total dietary",0.0,G,beef
"Calcium, Ca",0.0,MG,beef
"Iron, Fe",4.24,MG,beef
"Sodium, Na",212,MG,beef
"Vitamin A, IU",0.0,IU,beef
"Vitamin C, total ascorbic acid",0.0,MG,beef
Cholesterol,53.0,MG,beef
"Fatty acids, total trans",0.0,G,beef
"Fatty acids, total saturated",4.12,G,beef
Protein,21.3,G,beef rib
Ash,0.94,G,beef rib
"Alcohol, ethyl",0.0,G,beef rib
Energy,146,KCAL,beef rib
"Fiber, total dietary",0.0,G,beef rib
"Iron, Fe",1.82,MG,beef rib
"Magnesium, Mg",20.0,MG,beef rib
"Phosphorus, P",184,MG,beef rib
"Sodium, Na",54.0,MG,beef rib
"Copper, Cu",0.047,MG,beef rib
"Manganese, Mn",0.006,MG,beef rib
"Vitamin A, IU",26.0,IU,beef rib
Retinol,8.0,UG,beef rib
"Vitamin A, RAE",8.0,UG,beef rib
"Carotene, beta",0.0,UG,beef rib
"Carotene, alpha",0.0,UG,beef rib
Vitamin D3 (cholecalciferol),0.2,UG,beef rib
Vitamin D (D2 + D3),0.2,UG,beef rib
"Cryptoxanthin, beta",0.0,UG,beef rib
Lycopene,0.0,UG,beef rib
"Vitamin C, total ascorbic acid",0.0,MG,beef rib
Thiamin,0.03,MG,beef rib
Riboflavin,0.09,MG,beef rib
Vitamin B-12,1.17,UG,beef rib
Tryptophan,0.223,G,beef rib
Threonine,0.772,G,beef rib
Methionine,0.701,G,beef rib
